Year,Country,Region,Rank,Score,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity,Dystopia Residual,Latitude,Longitude,Size,Continent
2021,Finland,Western Europe,1.0,7.842,1.446,1.106,0.741,0.691,0.481,0.124,3.253,61.92411,25.748151,17,Europe
2021,Denmark,Western Europe,2.0,7.62,1.502,1.108,0.763,0.686,0.485,0.208,2.868,56.26392,9.501785,17,Europe
2021,Switzerland,Western Europe,3.0,7.571,1.566,1.079,0.816,0.653,0.413,0.204,2.839,46.818188,8.227512,17,Europe
2021,Iceland,Western Europe,4.0,7.554,1.482,1.172,0.772,0.698,0.17,0.293,2.967,64.963051,-19.020835,17,Europe
2021,Netherlands,Western Europe,5.0,7.464,1.501,1.079,0.753,0.647,0.384,0.302,2.798,52.132633,5.291266,17,Europe
2021,Norway,Western Europe,6.0,7.392,1.543,1.108,0.782,0.703,0.427,0.249,2.58,60.472024,8.468946,17,Europe
2021,Sweden,Western Europe,7.0,7.363,1.478,1.062,0.763,0.685,0.448,0.244,2.683,60.128161,18.643501,17,Europe
2021,Luxembourg,Western Europe,8.0,7.324,1.751,1.003,0.76,0.639,0.353,0.166,2.653,49.815273,6.129583,17,Europe
2021,New Zealand,Australia and New Zealand,9.0,7.277,1.4,1.094,0.785,0.665,0.445,0.276,2.612,-40.900557,174.885971,17,Oceania
2021,Austria,Western Europe,10.0,7.268,1.492,1.062,0.782,0.64,0.292,0.215,2.784,47.516231,14.550072,17,Europe
2021,Australia,Australia and New Zealand,11.0,7.183,1.453,1.076,0.801,0.647,0.317,0.291,2.598,-25.274398,133.775136,17,Oceania
2021,Israel,Middle East and Northern Africa,12.0,7.157,1.376,1.074,0.788,0.509,0.119,0.208,3.083,31.046051,34.851612,17,Africa
2021,Germany,Western Europe,13.0,7.155,1.48,0.993,0.757,0.6,0.306,0.195,2.824,51.165691,10.451526,17,Europe
2021,Canada,North America,14.0,7.103,1.447,1.044,0.798,0.648,0.335,0.246,2.585,56.130366,-106.346771,17,North America
2021,Ireland,Western Europe,15.0,7.085,1.644,1.092,0.753,0.606,0.367,0.238,2.384,53.41291,-8.24389,17,Europe
2021,Costa Rica,Latin America and Caribbean,16.0,7.069,1.134,0.966,0.722,0.673,0.083,0.105,3.387,9.748917,-83.753428,17,South America
2021,United Kingdom,Western Europe,17.0,7.064,1.423,1.062,0.757,0.58,0.306,0.34,2.596,55.378051,-3.435973,17,Europe
2021,Czech Republic,Central and Eastern Europe,18.0,6.965,1.37,1.09,0.703,0.58,0.046,0.052,3.124,49.817492,15.472962,17,Europe
2021,United States,North America,19.0,6.951,1.533,1.03,0.621,0.554,0.154,0.252,2.807,37.09024,-95.712891,17,North America
2021,Belgium,Western Europe,20.0,6.834,1.463,0.998,0.747,0.489,0.187,0.088,2.862,50.503887,4.469936,17,Europe
2021,France,Western Europe,21.0,6.69,1.421,1.081,0.804,0.536,0.235,0.092,2.521,46.227638,2.213749,14,Europe
2021,Bahrain,Middle East and Northern Africa,22.0,6.647,1.409,0.899,0.662,0.661,0.139,0.246,2.631,25.930414,50.637772,14,Africa
2021,Malta,Western Europe,23.0,6.602,1.411,1.055,0.747,0.664,0.183,0.275,2.268,35.937496,14.375416,14,Europe
2021,Taiwan,Eastern Asia,24.0,6.584,1.48,0.982,0.665,0.49,0.139,0.142,2.687,23.69781,120.960515,14,Asia
2021,United Arab Emirates,Middle East and Northern Africa,25.0,6.561,1.555,0.86,0.594,0.67,0.223,0.236,2.422,23.424076,53.847818,14,Africa
2021,Saudi Arabia,Middle East and Northern Africa,26.0,6.494,1.435,0.964,0.571,0.603,0.163,0.09,2.668,23.885942,45.079162,14,Africa
2021,Spain,Western Europe,27.0,6.491,1.375,1.057,0.826,0.462,0.124,0.135,2.513,40.463667,-3.74922,14,Europe
2021,Italy,Western Europe,28.0,6.483,1.393,0.94,0.798,0.379,0.047,0.133,2.794,41.87194,12.56738,14,Europe
2021,Slovenia,Central and Eastern Europe,29.0,6.461,1.36,1.093,0.722,0.69,0.085,0.122,2.388,46.151241,14.995463,14,Europe
2021,Guatemala,Latin America and Caribbean,30.0,6.435,0.845,0.79,0.519,0.638,0.105,0.163,3.375,15.783471,-90.230759,14,South America
2021,Uruguay,Latin America and Caribbean,31.0,6.431,1.164,1.042,0.649,0.625,0.223,0.128,2.6,-32.522779,-55.765835,14,South America
2021,Singapore,Southeastern Asia,32.0,6.377,1.695,1.019,0.897,0.664,0.547,0.176,1.379,1.352083,103.819836,14,Asia
2021,Kosovo,Central and Eastern Europe,33.0,6.372,0.937,0.807,0.483,0.593,0.014,0.356,3.182,42.602636,20.902977,14,Europe
2021,Slovakia,Central and Eastern Europe,34.0,6.331,1.304,1.066,0.653,0.468,0.018,0.107,2.714,48.669026,19.699024,14,Europe
2021,Brazil,Latin America and Caribbean,35.0,6.33,1.028,0.944,0.571,0.514,0.117,0.142,3.015,-14.235004,-51.92528,14,South America
2021,Mexico,Latin America and Caribbean,36.0,6.317,1.126,0.83,0.634,0.585,0.089,0.092,2.961,23.634501,-102.552784,14,South America
